"date"	"MinPrice"	"CP"	"TodayCPAvailable"
20150101	127.9	54.56	1
20150102	122.9	52.69	1
20150103	120.9	0	0
20150104	118.9	0	0
20150105	116.9	50.04	1
20150106	113.9	47.93	1
20150107	111.9	48.65	1
20150108	123.9	48.79	1
20150109	121.9	48.36	1
20150110	119.9	0	0
20150111	117.9	0	0
20150112	115.9	46.07	1
20150113	113.9	45.89	1
20150114	111.9	48.48	1
20150115	119.9	46.25	1
20150116	116.9	48.69	1
20150117	114.9	0	0
20150118	112.9	48.85	1
20150119	110.9	47.78	1
20150120	108.9	46.39	1
20150121	106.9	47.78	1
20150122	116.9	46.31	1
20150123	113.9	45.59	1
20150124	111.9	0	0
20150125	109.9	0	0
20150126	107.9	45.15	1
20150127	105.9	46.23	1
20150128	103.9	44.45	1
20150129	116.9	44.53	1
20150130	114.9	48.24	1
20150131	112.9	0	0
20150201	105.4	0	0
20150202	105.4	49.57	1
20150203	104.9	53.05	1
20150204	104.9	48.45	1
20150205	105.4	50.48	1
20150206	105.4	51.69	1
20150207	105.4	0	0
20150208	105.4	0	0
20150209	105.4	52.86	1
20150210	105.4	50.02	1
20150211	105.4	48.84	1
20150212	105.4	51.21	1
20150213	117.4	52.78	1
20150214	114.9	0	0
20150215	114.4	54.06	1
20150216	114.4	53.61	1
20150217	114.4	53.53	1
20150218	113.9	52.14	1
20150219	114.4	51.16	1
20150220	119.4	50.34	1
20150221	119.4	0	0
20150222	119.4	0	0
20150223	119.4	49.45	1
20150224	119.4	49.28	1
20150225	117.9	50.99	1
20150226	119.4	48.17	1
20150227	125.4	49.76	1
20150228	125.4	0	0
20150301	125.4	0	0
20150302	125.4	49.59	1
20150303	119.9	50.52	1
20150304	118.9	51.53	1
20150305	125.4	50.76	1
20150306	125.4	49.61	1
20150307	125.4	0	0
20150308	125.4	0	0
20150309	125.4	50	1
20150310	121.9	48.29	1
20150311	121.9	48.17	1
20150312	123.4	47.05	1
20150313	123.4	44.84	1
20150314	122.9	0	0
20150315	123.4	0	0
20150316	123.4	43.88	1
20150317	123.4	43.46	1
20150318	123.4	44.66	1
20150319	123.4	43.96	1
20150320	125.9	45.72	1
20150321	129.4	0	0
20150322	129.4	0	0
20150323	129.4	47.45	1
20150324	127.9	47.51	1
20150325	123.4	49.21	1
20150326	123.4	51.43	1
20150327	123.4	48.87	1
20150328	123.4	0	0
20150329	123.4	0	0
20150330	123.4	48.68	1
20150331	123.4	47.6	1
20150401	122.9	50.09	1
20150402	123.4	49.14	1
20150403	123.4	49.14	1
20150404	123.4	0	0
20150405	123.4	0	0
20150406	123.4	52.14	1
20150407	123.4	53.98	1
20150408	123.4	50.42	1
20150409	123.4	50.79	1
20150410	123.4	51.64	1
20150411	123.4	0	0
20150412	123.4	0	0
20150413	123.4	51.91	1
20150414	123.4	53.29	1
20150415	123.4	56.39	1
20150416	123.4	56.71	1
20150417	123.4	55.74	1
20150418	123.4	0	0
20150419	123.4	0	0
20150420	123.4	56.38	1
20150421	123.4	55.26	1
20150422	123.4	56.16	1
20150423	123.4	57.74	1
20150424	129.4	57.15	1
20150425	129.4	0	0
20150426	129.4	0	0
20150427	129.4	56.99	1
20150428	125.4	57.06	1
20150429	125.4	58.58	1
20150430	125.4	59.63	1
20150501	137.9	59.15	1
20150502	135.9	0	0
20150503	133.9	0	0
20150504	131.9	58.93	1
20150505	129.9	60.4	1
20150506	127.9	60.93	1
20150507	143.9	58.94	1
20150508	141.9	59.39	1
20150509	139.9	0	0
20150510	137.9	0	0
20150511	135.9	59.25	1
20150512	133.9	60.75	1
20150513	131.9	60.5	1
20150514	144.9	59.88	1
20150515	142.9	59.69	1
20150516	139.9	0	0
20150517	137.9	0	0
20150518	121.9	59.43	1
20150519	121.9	57.26	1
20150520	121.9	58.98	1
20150521	144.9	60.72	1
20150522	142.9	59.72	1
20150523	120.9	0	0
20150524	120.9	59.92	1
20150525	120.9	59.85	1
20150526	120.9	58.03	1
20150527	120.9	57.51	1
20150528	120.9	57.68	1
20150529	120.9	60.3	1
20150530	119.9	0	0
20150531	119.9	0	0
20150601	118.9	60.2	1
20150602	120.9	61.26	1
20150603	147.9	59.64	1
20150604	145.9	58	1
20150605	117.5	59.13	1
20150606	119.9	0	0
20150607	117.3	0	0
20150608	118.9	58.14	1
20150609	135.9	60.14	1
20150610	147.9	61.43	1
20150611	116.9	60.77	1
20150612	116.9	59.96	1
